N, F1, P, R
1, 0.907404765302, 0.965098634294, 0.856219709208
2, 0.909868796349, 0.967252880534, 0.858912224017
3, 0.917737789203, 0.977189781022, 0.865105008078
4, 0.916571753986, 0.97250755287, 0.866720516963
5, 0.924201940655, 0.967324109508, 0.884760366182
6, 0.926191480388, 0.969108561342, 0.886914378029
7, 0.931827805222, 0.979234648472, 0.888799138395
8, 0.931587837838, 0.97610619469, 0.890953150242
9, 0.915747808878, 0.963988095238, 0.872105546581
10, 0.918093082473, 0.967213114754, 0.873721055466
11, 0.925486875529, 0.972419928826, 0.882875605816
12, 0.924978926665, 0.967097532315, 0.886375875067
13, 0.931121731796, 0.974117647059, 0.891760904685
14, 0.931786413195, 0.968895348837, 0.897415185784
15, 0.935664335664, 0.973515715949, 0.900646203554
16, 0.935997764114, 0.972980825102, 0.901723209478
17, 0.914470903199, 0.959207803725, 0.873721055466
18, 0.913705583756, 0.959147424512, 0.872374798061
19, 0.926348401634, 0.971065839976, 0.885568120625
20, 0.924528301887, 0.969008264463, 0.883952611739
21, 0.929346314325, 0.961162255466, 0.899569197631
22, 0.930621342992, 0.964203233256, 0.89929994615
23, 0.934286114614, 0.973999415717, 0.897684437264
24, 0.93577213069, 0.97186774942, 0.902261712439
25, 0.916075985257, 0.967365269461, 0.869951534733
26, 0.916619559073, 0.964604402142, 0.873182552504
27, 0.927454571066, 0.972525849335, 0.886375875067
28, 0.924915635546, 0.96792230724, 0.885568120625
29, 0.932812935601, 0.967052023121, 0.900915455035
30, 0.933519163763, 0.967639410575, 0.901723209478
31, 0.936312849162, 0.972721996518, 0.90253096392
32, 0.936223776224, 0.974097788126, 0.901184706516
Best config = [0, 1, 1, 1, 1]
Best F1 = 0.936312849162
