N, F1, P, R
1, 0.889039881184, 0.948850150722, 0.836833602585
2, 0.889742108672, 0.947643280242, 0.838718362951
3, 0.885519282405, 0.939409494059, 0.837910608508
4, 0.889121006529, 0.942273515206, 0.841949380722
5, 0.899141402946, 0.943022702399, 0.859450726979
6, 0.899814244509, 0.942916584909, 0.860527732903
7, 0.901072735782, 0.942367038221, 0.863489499192
8, 0.904947813798, 0.943440315996, 0.869682283253
9, 0.892865035621, 0.940873015397, 0.849757673667
10, 0.891151815678, 0.935045809797, 0.851373182553
11, 0.895229577184, 0.938114588071, 0.856219709208
12, 0.894123882248, 0.934198874582, 0.857565966613
13, 0.905564206418, 0.943319127688, 0.870759289176
14, 0.902647945522, 0.939472356327, 0.868605277329
15, 0.902092568388, 0.940833890859, 0.866451265482
16, 0.90522191112, 0.940349657405, 0.872644049542
17, 0.892541310349, 0.943362804783, 0.847065158858
18, 0.893031512596, 0.937846972322, 0.852450188476
19, 0.89453339534, 0.938939476071, 0.854334948842
20, 0.897110072053, 0.94062077531, 0.857565966613
21, 0.904542191662, 0.941433278751, 0.870490037695
22, 0.901525397654, 0.937394509899, 0.868336025848
23, 0.90471033989, 0.941529662025, 0.870759289176
24, 0.90436447557, 0.939762190627, 0.871567043619
25, 0.890715252736, 0.93911669964, 0.847334410339
26, 0.890400463473, 0.93467713454, 0.850296176629
27, 0.893762583253, 0.937147748173, 0.854334948842
28, 0.894893352782, 0.938008365277, 0.855681206247
29, 0.907285206369, 0.943845323842, 0.873451803985
30, 0.899215562051, 0.93551567216, 0.865643511039
31, 0.903444501156, 0.939989265087, 0.869682283253
32, 0.904448889607, 0.94182663551, 0.869951534733
Best config = [0, 0, 1, 1, 1]
Best F1 = 0.907285206369
