N, F1, P, R
1, 0.871079192966, 0.92619547541, 0.822563274098
2, 0.874481141596, 0.925402005905, 0.82929456112
3, 0.886622503629, 0.943679568038, 0.836295099623
4, 0.887003522714, 0.938208219593, 0.84141087776
5, 0.894719479429, 0.938855867205, 0.854604200323
6, 0.896411898876, 0.933086366863, 0.86268174475
7, 0.906006226364, 0.948104786772, 0.867528271405
8, 0.904420870225, 0.944020428127, 0.868066774367
9, 0.883116474138, 0.935182181746, 0.836564351104
10, 0.88294169396, 0.926009393401, 0.843834141088
11, 0.8945555821, 0.935223296431, 0.857296715132
12, 0.892067789068, 0.936238130214, 0.851911685514
13, 0.903890566823, 0.940901297271, 0.869682283253
14, 0.902862004983, 0.935867334966, 0.872105546581
15, 0.907056016164, 0.942115207069, 0.874528809908
16, 0.908570831335, 0.941935736593, 0.877490576198
17, 0.879297051371, 0.923527256382, 0.839795368875
18, 0.880935420576, 0.92360193294, 0.842218632202
19, 0.895651155383, 0.936191457784, 0.858642972536
20, 0.892271897601, 0.934763684837, 0.8535271944
21, 0.902352068108, 0.93261021282, 0.874259558428
22, 0.89992170918, 0.932705890369, 0.869413031772
23, 0.9105677306, 0.946549661503, 0.877221324717
24, 0.906243847802, 0.943170431558, 0.872105546581
25, 0.884700619452, 0.930243210058, 0.843834141088
26, 0.885113466206, 0.930157045567, 0.84437264405
27, 0.895453906101, 0.936343246394, 0.858104469575
28, 0.892273461671, 0.931331795506, 0.856488960689
29, 0.904529801784, 0.938224345434, 0.873182552504
30, 0.905378913043, 0.940044077345, 0.873182552504
31, 0.908903490772, 0.944836477135, 0.875605815832
32, 0.907842345251, 0.944422526457, 0.873990306947
Best config = [0, 1, 1, 0, 1]
Best F1 = 0.9105677306
