N, F1, P, R
1, 0.683887829954, 0.763691770164, 0.644857296715
2, 0.693789754055, 0.772434287575, 0.656165858912
3, 0.688805976552, 0.769806783398, 0.650511577814
4, 0.687509651933, 0.762814738536, 0.651319332256
5, 0.701363894261, 0.75404026948, 0.67070543888
6, 0.708618906478, 0.759955234186, 0.67985998923
7, 0.706533640397, 0.761234612922, 0.677167474421
8, 0.70779954183, 0.760476860999, 0.679052234787
9, 0.689493569742, 0.76140619814, 0.658319870759
10, 0.691380212235, 0.761830230132, 0.661820140011
11, 0.688351952724, 0.760872515797, 0.65858912224
12, 0.696424726854, 0.767273974819, 0.666935918148
13, 0.708156846202, 0.758937214442, 0.682014001077
14, 0.709056881316, 0.758471185324, 0.684706515886
15, 0.704180726343, 0.753775550035, 0.677975228864
16, 0.715821790925, 0.767671073271, 0.690899299946
17, 0.688690991001, 0.76207124486, 0.65858912224
18, 0.693282451104, 0.764940710424, 0.662358642973
19, 0.689430473253, 0.762339507232, 0.657512116317
20, 0.696278259639, 0.772533473933, 0.666128163705
21, 0.703869156019, 0.754080014409, 0.677975228864
22, 0.712951893502, 0.763596895541, 0.687399030695
23, 0.704596119157, 0.758573747574, 0.677436725902
24, 0.716854020052, 0.766476833676, 0.691437802908
25, 0.68552275006, 0.761661402321, 0.65562735595
26, 0.685353259432, 0.755420386215, 0.656704361874
27, 0.688146420483, 0.760364060399, 0.656973613355
28, 0.692040490647, 0.765303264948, 0.661012385568
29, 0.701958916795, 0.752194704015, 0.676359719978
30, 0.708974179531, 0.762495996521, 0.684706515886
31, 0.706585920746, 0.757160958819, 0.680129240711
32, 0.71744040578, 0.76894159193, 0.692514808831
Best config = [1, 1, 1, 1, 1]
Best F1 = 0.71744040578
