N, F1, P, R
1, 0.691820617159, 0.7670915166, 0.648088314486
2, 0.691441888804, 0.760132454456, 0.652665589661
3, 0.694304404718, 0.762738970034, 0.654819601508
4, 0.695261168324, 0.767347178297, 0.658050619278
5, 0.710412300136, 0.7627225027, 0.677975228864
6, 0.720427310602, 0.769812592967, 0.688745288099
7, 0.714834501375, 0.765696116398, 0.683091007001
8, 0.725813984071, 0.773859246156, 0.694938072159
9, 0.687036746268, 0.758288516757, 0.652665589661
10, 0.692363874098, 0.76409407349, 0.658050619278
11, 0.694891908991, 0.762449155675, 0.663166397415
12, 0.693242825183, 0.760332145448, 0.661281637049
13, 0.708835208288, 0.760874693203, 0.679590737749
14, 0.708596307698, 0.758929819844, 0.680936995153
15, 0.721049442789, 0.772800492814, 0.691437802908
16, 0.721646008292, 0.770208812787, 0.694938072159
17, 0.690196824734, 0.759036592498, 0.65562735595
18, 0.690542940356, 0.760459577347, 0.656704361874
19, 0.698616383032, 0.766182274715, 0.665320409262
20, 0.691699962705, 0.760923030971, 0.659396876683
21, 0.709222493798, 0.760097189785, 0.67985998923
22, 0.711445602146, 0.757404568955, 0.684706515886
23, 0.713441954409, 0.762697669065, 0.684168012924
24, 0.718393819412, 0.768210127483, 0.691707054389
25, 0.690758488514, 0.760453810283, 0.656704361874
26, 0.698786350725, 0.766271884895, 0.665051157781
27, 0.697854251179, 0.768912236731, 0.6647819063
28, 0.694840766046, 0.760998935931, 0.662358642973
29, 0.710805649156, 0.761377168164, 0.681744749596
30, 0.714978555519, 0.765102054528, 0.687399030695
31, 0.717959963085, 0.769142361566, 0.68901453958
32, 0.717942276817, 0.773062280366, 0.689283791061
Best config = [1, 1, 1, 0, 0]
Best F1 = 0.725813984071
