N, F1, P, R
1, 0.661008849721, 0.73074546715, 0.624124932687
2, 0.67039396236, 0.733363347032, 0.63704900377
3, 0.676836152121, 0.746105024475, 0.641626278945
4, 0.679157525427, 0.745596629184, 0.64620355412
5, 0.678436342797, 0.727962295426, 0.649703823371
6, 0.699723968618, 0.74970086062, 0.672320947765
7, 0.696907789967, 0.743956941587, 0.668551427033
8, 0.698966305946, 0.746683436655, 0.671513193323
9, 0.671658832467, 0.732210959175, 0.644857296715
10, 0.679663604509, 0.747997774431, 0.652127086699
11, 0.677331154779, 0.741178490289, 0.646742057081
12, 0.683014248486, 0.749484038385, 0.654011847065
13, 0.685748767448, 0.740064471908, 0.661281637049
14, 0.70029752368, 0.747637352537, 0.677167474421
15, 0.692391637194, 0.736507580739, 0.668551427033
16, 0.700258821479, 0.74776441887, 0.677436725902
17, 0.677458365239, 0.743738770219, 0.650780829295
18, 0.671808633452, 0.743560118055, 0.64324178783
19, 0.680097278702, 0.740765206146, 0.648896068928
20, 0.678546098744, 0.743537459041, 0.650511577814
21, 0.685336612606, 0.733052019842, 0.660204631125
22, 0.696510287136, 0.746068909522, 0.673397953689
23, 0.696217236112, 0.742935306223, 0.67070543888
24, 0.700027728261, 0.746549551293, 0.676628971459
25, 0.672928707597, 0.735763694806, 0.645934302639
26, 0.675615138525, 0.746143990915, 0.645395799677
27, 0.674859636278, 0.738745882385, 0.645665051158
28, 0.679204632192, 0.746410222512, 0.649973074852
29, 0.697232383817, 0.741655088933, 0.673128702208
30, 0.702218511412, 0.745235973517, 0.681475498115
31, 0.694262922586, 0.736598586253, 0.67070543888
32, 0.708625977829, 0.753542243626, 0.685514270328
Best config = [1, 1, 1, 1, 1]
Best F1 = 0.708625977829
